ORDER_DATE,SALES_ORDER_ID,CUSTOMER_ID,cliente,PRODUCT_ID,QTY,Semana
2024-04-29,7193734772,29463,2,288,1.0,18
2024-04-29,7193734772,29463,2,124,1.0,18
2024-04-29,7193734772,29463,2,601,1.0,18
2024-04-29,7193734772,29463,2,135,1.0,18
2024-04-29,7193734783,29464,0,28,1.0,18
2024-04-29,7193734783,29464,0,321,1.0,18
2024-04-29,7193734783,29464,0,601,1.0,18
2024-04-29,7193734783,29464,0,130,2.0,18
2024-04-29,7193734783,29464,0,1072,1.0,18
2024-04-29,7193735156,29479,3,34,1.0,18
2024-04-29,7193735156,29479,3,176,1.0,18
2024-04-29,7193735308,29485,2,81,1.0,18
2024-04-29,7193735308,29485,2,26,1.0,18
2024-04-29,7193735308,29485,2,148,6.0,18
2024-04-29,7193735308,29485,2,105,1.0,18
2024-04-29,7193735760,29499,3,81,1.0,18
2024-04-29,7193735760,29499,3,28,2.0,18
2024-04-29,7193735760,29499,3,91,2.0,18
2024-04-29,7193735760,29499,3,130,2.0,18
2024-04-29,7193735760,29499,3,34,1.0,18
2024-04-29,7193735760,29499,3,1072,2.0,18
2024-04-29,7193735894,29505,4,81,1.0,18
2024-04-29,7193735894,29505,4,120,1.0,18
2024-04-29,7193735894,29505,4,91,4.0,18
2024-04-29,7193735894,29505,4,176,1.0,18
2024-04-29,7193735894,29505,4,161,4.0,18
2024-04-29,7193735975,29510,0,91,1.0,18
2024-04-29,7193735975,29510,0,170,1.0,18
2024-04-29,7193735975,29510,0,218,2.0,18
2024-04-29,7193735975,29510,0,129,2.0,18
2024-04-29,7193735975,29510,0,87,1.0,18
2024-04-29,7193736091,29514,0,120,1.0,18
2024-04-29,7193736189,29519,0,161,6.0,18
2024-04-29,7193736189,29519,0,87,1.0,18
2024-04-29,7193736199,29520,1,87,1.0,18
2024-04-29,7193736385,29524,4,81,2.0,18
2024-04-29,7193736385,29524,4,91,5.0,18
2024-04-29,7193736385,29524,4,601,1.0,18
2024-04-29,7193736385,29524,4,170,3.0,18
2024-04-29,7193736385,29524,4,105,2.0,18
2024-04-29,7193736385,29524,4,176,2.0,18
2024-04-29,7193736385,29524,4,87,4.0,18
2024-04-29,7193736856,29537,4,146,1.0,18
2024-04-29,7193736856,29537,4,26,1.0,18
2024-04-29,7193736856,29537,4,148,2.0,18
2024-04-29,7193736856,29537,4,288,1.0,18
2024-04-29,7193736856,29537,4,91,4.0,18
2024-04-29,7193736856,29537,4,1075,1.0,18
2024-04-29,7193736856,29537,4,34,1.0,18
2024-04-29,7193736856,29537,4,87,2.0,18
2024-04-29,7193737001,29546,2,81,1.0,18
2024-04-29,7193737001,29546,2,87,1.0,18
2024-04-29,7193738200,29570,3,28,1.0,18
2024-04-29,7193738200,29570,3,170,1.0,18
2024-04-29,7193738200,29570,3,87,1.0,18
2024-04-29,7193738342,29575,1,81,1.0,18
2024-04-29,7193738342,29575,1,26,1.0,18
