PRODUCT_ID,product_target_mean
26,1.107371794871795
26,1.107371794871795
28,1.4461152882205515
79,2.625222024866785
79,2.625222024866785
81,1.1640112464854733
81,1.1640112464854733
81,1.1640112464854733
87,1.7638114546376078
87,1.7638114546376078
87,1.7638114546376078
91,3.3890237979601747
105,1.0398089171974523
120,1.2392444910807974
120,1.2392444910807974
130,2.970066518847007
135,1.099041533546326
135,1.099041533546326
170,1.3422053231939164
218,2.7088607594936707
218,2.7088607594936707
218,2.7088607594936707
1218,3.2275449101796405
94,1.1394335511982572
124,1.3876404494382022
130,2.970066518847007
176,1.0615079365079365
321,1.09009009009009
589,1.089051094890511
601,1.0676855895196506
1075,1.0780984719864177
26,1.107371794871795
34,1.2613412228796843
79,2.625222024866785
91,3.3890237979601747
124,1.3876404494382022
129,2.388888888888889
130,2.970066518847007
130,2.970066518847007
135,1.099041533546326
146,1.275064267352185
146,1.275064267352185
288,1.091710758377425
321,1.09009009009009
510,1.1353383458646618
589,1.089051094890511
601,1.0676855895196506
28,1.4461152882205515
28,1.4461152882205515
91,3.3890237979601747
124,1.3876404494382022
130,2.970066518847007
130,2.970066518847007
288,1.091710758377425
321,1.09009009009009
601,1.0676855895196506
912,1.6901408450704225
1072,1.7833333333333334
1072,1.7833333333333334
1072,1.7833333333333334
1072,1.7833333333333334
1075,1.0780984719864177
26,1.107371794871795
34,1.2613412228796843
34,1.2613412228796843
34,1.2613412228796843
79,2.625222024866785
81,1.1640112464854733
87,1.7638114546376078
87,1.7638114546376078
105,1.0398089171974523
130,2.970066518847007
1218,3.2275449101796405
81,1.1640112464854733
87,1.7638114546376078
87,1.7638114546376078
87,1.7638114546376078
91,3.3890237979601747
91,3.3890237979601747
91,3.3890237979601747
94,1.1394335511982572
120,1.2392444910807974
124,1.3876404494382022
124,1.3876404494382022
130,2.970066518847007
130,2.970066518847007
288,1.091710758377425
589,1.089051094890511
589,1.089051094890511
1075,1.0780984719864177
1075,1.0780984719864177
26,1.107371794871795
34,1.2613412228796843
81,1.1640112464854733
87,1.7638114546376078
105,1.0398089171974523
120,1.2392444910807974
161,4.700952380952381
170,1.3422053231939164
176,1.0615079365079365
176,1.0615079365079365
218,2.7088607594936707
290,4.400826446280992
1072,1.7833333333333334
1075,1.0780984719864177
26,1.107371794871795
26,1.107371794871795
34,1.2613412228796843
81,1.1640112464854733
87,1.7638114546376078
94,1.1394335511982572
120,1.2392444910807974
120,1.2392444910807974
124,1.3876404494382022
146,1.275064267352185
146,1.275064267352185
170,1.3422053231939164
288,1.091710758377425
510,1.1353383458646618
589,1.089051094890511
