target_cliente,target_producto,Semana,cantidad,se_compra
1.3636363636363635,1.107371794871795,20,1.0,0
1.3636363636363635,1.2613412228796843,19,1.0,1
1.3636363636363635,1.2613412228796843,20,1.0,0
1.3636363636363635,1.2613412228796843,22,1.0,0
1.3636363636363635,2.625222024866785,19,3.0,0
1.3636363636363635,1.1640112464854733,21,1.0,0
1.3636363636363635,1.7638114546376078,19,1.0,0
1.3636363636363635,1.7638114546376078,22,1.0,0
1.3636363636363635,1.0398089171974523,20,1.0,0
1.3636363636363635,2.970066518847007,21,2.0,0
1.3636363636363635,3.2275449101796405,19,2.0,0
2.0,1.1640112464854733,20,1.0,0
2.0,1.7638114546376078,20,3.0,0
2.0,1.7638114546376078,22,3.0,1
2.0,1.7638114546376078,23,4.0,0
2.0,3.3890237979601747,19,3.0,1
2.0,3.3890237979601747,20,3.0,1
2.0,3.3890237979601747,21,3.0,0
2.0,1.1394335511982572,21,1.0,0
2.0,1.2392444910807974,21,1.0,0
2.0,1.3876404494382022,20,1.0,1
2.0,1.3876404494382022,21,2.0,0
2.0,2.970066518847007,19,3.0,0
2.0,2.970066518847007,21,3.0,0
2.0,1.091710758377425,21,1.0,0
2.0,1.089051094890511,18,1.0,0
2.0,1.089051094890511,20,1.0,0
2.0,1.0780984719864177,18,1.0,0
2.0,1.0780984719864177,20,1.0,0
1.8571428571428572,1.107371794871795,21,1.0,0
1.8571428571428572,1.2613412228796843,18,1.0,0
1.8571428571428572,1.1640112464854733,19,1.0,0
1.8571428571428572,1.7638114546376078,22,1.0,0
1.8571428571428572,1.0398089171974523,19,1.0,0
1.8571428571428572,1.2392444910807974,21,1.0,0
1.8571428571428572,4.700952380952381,19,10.0,0
1.8571428571428572,1.3422053231939164,21,1.0,0
1.8571428571428572,1.0615079365079365,18,1.0,0
1.8571428571428572,1.0615079365079365,22,1.0,0
1.8571428571428572,2.7088607594936707,22,2.0,0
1.8571428571428572,4.400826446280992,19,3.0,0
1.8571428571428572,1.7833333333333334,19,1.0,0
1.8571428571428572,1.0780984719864177,21,1.0,0
1.7058823529411764,1.107371794871795,19,2.0,0
1.7058823529411764,1.107371794871795,21,1.0,0
1.7058823529411764,1.2613412228796843,19,1.0,0
1.7058823529411764,1.1640112464854733,19,1.0,0
1.7058823529411764,1.7638114546376078,19,3.0,0
1.7058823529411764,1.1394335511982572,21,2.0,0
1.7058823529411764,1.2392444910807974,19,2.0,0
1.7058823529411764,1.2392444910807974,21,2.0,0
1.7058823529411764,1.3876404494382022,19,1.0,0
1.7058823529411764,1.275064267352185,19,3.0,0
1.7058823529411764,1.275064267352185,21,2.0,0
1.7058823529411764,1.3422053231939164,19,2.0,0
1.7058823529411764,1.091710758377425,21,2.0,0
1.7058823529411764,1.1353383458646618,19,2.0,0
1.7058823529411764,1.089051094890511,21,1.0,0
1.7058823529411764,1.6901408450704225,21,1.0,0
1.7058823529411764,1.0780984719864177,21,1.0,0
1.2,1.107371794871795,20,1.0,0
1.2,1.7638114546376078,18,1.0,0
1.2,3.3890237979601747,18,1.0,0
1.2,3.3890237979601747,21,2.0,0
1.2,2.987012987012987,19,1.0,0
1.7692307692307692,1.107371794871795,18,1.0,0
1.7692307692307692,1.107371794871795,22,1.0,0
1.7692307692307692,1.1640112464854733,18,1.0,1
1.7692307692307692,1.1640112464854733,19,1.0,0
1.7692307692307692,1.1640112464854733,21,1.0,0
1.7692307692307692,1.1640112464854733,23,1.0,0
1.7692307692307692,1.0398089171974523,18,1.0,0
1.7692307692307692,1.0398089171974523,22,1.0,0
1.7692307692307692,1.2392444910807974,19,2.0,0
1.7692307692307692,1.2392444910807974,22,2.0,0
1.7692307692307692,3.50066401062417,18,6.0,0
1.7692307692307692,3.50066401062417,20,4.0,0
1.7692307692307692,1.0780984719864177,20,1.0,0
1.0,3.2275449101796405,19,1.0,0
1.3333333333333333,1.107371794871795,19,1.0,0
1.3333333333333333,1.107371794871795,21,1.0,0
1.3333333333333333,1.4461152882205515,18,2.0,1
1.3333333333333333,1.4461152882205515,19,1.0,0
1.3333333333333333,1.4461152882205515,22,2.0,0
1.3333333333333333,1.2613412228796843,18,1.0,1
1.3333333333333333,1.2613412228796843,19,1.0,0
1.3333333333333333,1.2613412228796843,21,1.0,0
1.3333333333333333,1.1640112464854733,18,1.0,0
1.3333333333333333,1.1640112464854733,22,1.0,0
1.3333333333333333,3.3890237979601747,18,2.0,0
1.3333333333333333,3.3890237979601747,21,2.0,1
1.3333333333333333,3.3890237979601747,22,2.0,0
1.3333333333333333,1.3876404494382022,21,1.0,0
1.3333333333333333,2.970066518847007,18,2.0,0
1.3333333333333333,2.970066518847007,21,2.0,0
1.3333333333333333,1.275064267352185,19,1.0,0
1.3333333333333333,1.275064267352185,22,1.0,0
1.3333333333333333,3.50066401062417,19,1.0,0
1.3333333333333333,1.3422053231939164,22,1.0,0
1.3333333333333333,1.0615079365079365,19,1.0,0
1.3333333333333333,1.09009009009009,22,1.0,0
1.3333333333333333,1.0676855895196506,21,1.0,0
1.3333333333333333,1.7833333333333334,18,2.0,0
