ORDER_DATE,Semana,CUSTOMER_ID,cliente,PRODUCT_ID,producto,QTY
2024-04-29,18,29463,2,288,6,1.0
2024-04-29,18,29463,2,124,6,1.0
2024-04-29,18,29463,2,601,0,1.0
2024-04-29,18,29463,2,135,0,1.0
2024-04-29,18,29464,0,28,0,1.0
2024-04-29,18,29464,0,321,0,1.0
2024-04-29,18,29464,0,601,0,1.0
2024-04-29,18,29464,0,130,1,2.0
2024-04-29,18,29464,0,1072,3,1.0
2024-04-29,18,29479,3,34,5,1.0
2024-04-29,18,29479,3,176,6,1.0
2024-04-29,18,29485,2,81,5,1.0
2024-04-29,18,29485,2,26,5,1.0
2024-04-29,18,29485,2,148,1,6.0
2024-04-29,18,29485,2,105,6,1.0
2024-04-29,18,29499,3,81,5,1.0
2024-04-29,18,29499,3,28,0,2.0
2024-04-29,18,29499,3,91,2,2.0
2024-04-29,18,29499,3,130,1,2.0
2024-04-29,18,29499,3,34,5,1.0
2024-04-29,18,29499,3,1072,3,2.0
2024-04-29,18,29505,4,81,5,1.0
2024-04-29,18,29505,4,120,5,1.0
2024-04-29,18,29505,4,91,2,4.0
2024-04-29,18,29505,4,176,6,1.0
2024-04-29,18,29505,4,161,1,4.0
2024-04-29,18,29510,0,91,2,1.0
2024-04-29,18,29510,0,170,6,1.0
2024-04-29,18,29510,0,218,6,2.0
2024-04-29,18,29510,0,129,3,2.0
2024-04-29,18,29510,0,87,4,1.0
2024-04-29,18,29514,0,120,5,1.0
2024-04-29,18,29519,0,161,1,6.0
2024-04-29,18,29519,0,87,4,1.0
2024-04-29,18,29520,1,87,4,1.0
2024-04-29,18,29524,4,81,5,2.0
2024-04-29,18,29524,4,91,2,5.0
2024-04-29,18,29524,4,601,0,1.0
2024-04-29,18,29524,4,170,6,3.0
2024-04-29,18,29524,4,105,6,2.0
2024-04-29,18,29524,4,176,6,2.0
2024-04-29,18,29524,4,87,4,4.0
2024-04-29,18,29537,4,146,0,1.0
2024-04-29,18,29537,4,26,5,1.0
2024-04-29,18,29537,4,148,1,2.0
2024-04-29,18,29537,4,288,6,1.0
2024-04-29,18,29537,4,91,2,4.0
2024-04-29,18,29537,4,1075,6,1.0
2024-04-29,18,29537,4,34,5,1.0
2024-04-29,18,29537,4,87,4,2.0
2024-04-29,18,29546,2,81,5,1.0
2024-04-29,18,29546,2,87,4,1.0
2024-04-29,18,29570,3,28,0,1.0
2024-04-29,18,29570,3,170,6,1.0
2024-04-29,18,29570,3,87,4,1.0
2024-04-29,18,29575,1,81,5,1.0
2024-04-29,18,29575,1,26,5,1.0
2024-04-29,18,29575,1,120,5,1.0
2024-04-29,18,29575,1,28,0,1.0
2024-04-29,18,29575,1,105,6,1.0
2024-04-29,18,29575,1,161,1,4.0
2024-04-29,18,29575,1,87,4,1.0
2024-04-29,18,29577,3,79,6,6.0
2024-04-29,18,29500,0,81,5,1.0
2024-04-29,18,29500,0,91,2,2.0
2024-04-29,18,29500,0,105,6,1.0
2024-04-29,18,29500,0,87,4,1.0
2024-04-29,18,29589,2,81,5,1.0
2024-04-29,18,29589,2,26,5,1.0
2024-04-29,18,29589,2,148,1,2.0
2024-04-29,18,29589,2,91,2,2.0
2024-04-29,18,29589,2,105,6,1.0
2024-04-29,18,29589,2,589,6,1.0
2024-04-29,18,29589,2,176,6,1.0
2024-04-29,18,29589,2,87,4,1.0
2024-04-29,18,29589,2,79,6,2.0
2024-04-29,18,29591,4,90,3,4.0
2024-04-29,18,29591,4,170,6,1.0
2024-04-29,18,29591,4,589,6,1.0
2024-04-29,18,29591,4,34,5,1.0
2024-04-29,18,29578,2,120,5,1.0
2024-04-29,18,29578,2,91,2,3.0
2024-04-29,18,29578,2,94,0,1.0
2024-04-29,18,29578,2,170,6,1.0
2024-04-29,18,29578,2,87,4,1.0
2024-04-29,18,29594,0,26,5,1.0
2024-04-29,18,29594,0,148,1,3.0
2024-04-29,18,29594,0,91,2,3.0
2024-04-29,18,29594,0,105,6,1.0
2024-04-29,18,29594,0,176,6,1.0
2024-04-29,18,29601,3,148,1,4.0
2024-04-29,18,29601,3,288,6,1.0
2024-04-29,18,29601,3,91,2,2.0
2024-04-29,18,29601,3,94,0,2.0
2024-04-29,18,29601,3,34,5,1.0
2024-04-29,18,29601,3,1072,3,3.0
2024-04-29,18,29654,1,120,5,1.0
2024-04-29,18,29654,1,91,2,2.0
2024-04-29,18,29654,1,176,6,1.0
2024-04-29,18,29654,1,79,6,1.0
2024-04-29,18,29658,2,91,2,2.0
2024-04-29,18,29658,2,170,6,1.0
2024-04-29,18,29658,2,218,6,2.0
2024-04-29,18,29658,2,34,5,1.0
